map,w,h,rounds,ecsA,ecsB,neutral,neutralInf,meanPass,swampFrac,symmetry,homeToEnemyDist,area
SeaFloor,45,32,1500,1,1,6,1394,0.744,0.285,X,30.0,1440
Sediment,48,50,1500,1,1,4,300,0.632,0.339,Y,49.0,2400
SlowMusic,64,48,1500,1,1,6,1500,0.821,0.083,R,37.4,3072
Smile,32,32,1500,1,1,2,300,0.879,0.135,X,25.0,1024
Snowflake,35,36,1500,1,1,2,200,0.751,0.000,RXY,33.1,1260
SpaceInvaders,32,48,1500,1,1,4,700,0.500,0.676,X,15.0,1536
Star,35,35,1500,1,1,4,600,0.796,0.122,X,20.0,1225
Stonks,64,50,1500,3,3,4,1332,0.348,0.713,R,32.3,3200
Superposition,50,50,1500,2,2,4,1500,0.384,0.708,X,47.0,2500
Surprised,64,64,1500,1,1,4,300,0.916,0.068,Y,53.0,4096
TheClientMapEditorIsSuperiorToGoogleSheetsEom,60,40,1500,1,1,0,0,0.429,0.648,R,27.0,2400
TheSnackThatSmilesBack,64,64,1500,2,2,2,300,0.863,0.112,R,55.0,4096
TicTacTie,64,64,1500,1,1,6,1500,0.720,0.317,Y,45.0,4096
Tiger,64,64,1500,3,3,6,3000,0.817,0.295,X,39.0,4096
UnbrandedWordGame,64,64,1500,1,1,6,900,0.679,0.339,X,41.0,4096
VideoGames,48,64,1500,1,1,6,2200,0.851,0.063,X,47.0,3072
WhatISeeInMyDreams,40,40,1500,3,3,4,600,0.620,0.415,X,21.0,1600
Yoda,64,64,1500,2,2,4,540,0.808,0.208,R,55.2,4096
Z,64,64,1500,1,1,4,1200,0.385,0.536,R,31.1,4096
Zodiac,48,64,1500,1,1,6,1700,0.939,0.000,X,17.0,3072
circle,63,63,1500,2,2,4,1200,0.950,0.000,RXY,22.0,3969
maptestsmall,32,32,1500,1,1,0,0,0.545,0.463,X,21.0,1024
quadrants,40,40,1500,2,2,2,1000,0.953,0.053,R,28.3,1600
